"","unit","old_unit","Experiment","Treatment","Species","Genotype","G..Alias","Replicates"
"212","139:07:01","139:07:01","Exp60","WW_R3","Sorghum","Exp60_44_IS4726","Exp60_44_IS4726",3
"213","139:07:02","139:07:02","Exp60","WW_R3","Sorghum","Exp60_17_IS2678","Exp60_17_IS2678",3
"214","139:08:01","139:08:01","Exp60","WW_R3","Sorghum","Exp60_159_IS20387","Exp60_159_IS20387",3
"215","139:08:02","139:08:02","Exp60","WW_R3","Sorghum","Exp60_54_IS6154","Exp60_54_IS6154",3
"216","139:09:01","139:09:01","Exp60","WW_R3","Sorghum","Exp60_225_IS24940","Exp60_225_IS24940",3
"217","139:09:02","139:09:02","Exp60","WW_R3","Sorghum","Exp60_214_IS23903","Exp60_214_IS23903",3
"218","140:10:01","140:10:01","Exp60","WW_R3","Sorghum","Exp60_94_IS12531","Exp60_94_IS12531",3
"219","140:10:02","140:10:02","Exp60","WW_R3","Sorghum","Exp60_180_IS21519","Exp60_180_IS21519",3
"220","140:11:01","140:11:01","Exp60","WW_R3","Sorghum","Exp60_57_IS6413","Exp60_57_IS6413",3
"221","140:11:02","140:11:02","Exp60","WW_R3","Sorghum","Exp60_261_IS29870","Exp60_261_IS29870",3
"222","140:12:01","140:12:01","Exp60","WW_R3","Sorghum","Exp60_162_IS20697","Exp60_162_IS20697",3
"223","140:12:02","140:12:02","Exp60","WW_R3","Sorghum","Exp60_164_IS20709","Exp60_164_IS20709",3
"224","140:01:01","140:01:01","Exp60","WW_R3","Sorghum","Exp60_319_SSM29","Exp60_319_SSM29",3
"225","140:01:02","140:01:02","Exp60","WW_R3","Sorghum","Exp60_212_IS23669","Exp60_212_IS23669",3
"226","140:02:01","140:02:01","Exp60","WW_R3","Sorghum","Exp60_313_SSM19","Exp60_313_SSM19",3
"227","140:02:02","140:02:02","Exp60","WW_R3","Sorghum","Exp60_234_IS25836","Exp60_234_IS25836",3
"228","140:03:01","140:03:01","Exp60","WW_R3","Sorghum","Exp60_80_IS9911","Exp60_80_IS9911",3
"229","140:03:02","140:03:02","Exp60","WW_R3","Sorghum","Exp60_166_IS20713","Exp60_166_IS20713",3
"230","140:04:01","140:04:01","Exp60","WW_R3","Sorghum","Exp60_25_IS2902","Exp60_25_IS2902",3
"231","140:04:02","140:04:02","Exp60","WW_R3","Sorghum","Exp60_2_IS35","Exp60_2_IS35",3
"232","140:05:01","140:05:01","Exp60","WW_R3","Sorghum","Exp60_56_IS6351","Exp60_56_IS6351",3
