Date;TS;Temp;RH;VPD;SR;WS;;
26/09/2023;10:15:00;25.37;90%;;53.64;0;;
26/09/2023;10:30:00;25.73;90.30%;;80.5;0;;
26/09/2023;10:45:00;26.25;88.60%;;80.5;0;;
26/09/2023;11:00:00;26.63;87%;;141.8;0;;
26/09/2023;11:15:00;27.23;86.50%;;100.5;0;;
26/09/2023;11:30:00;27.61;84.90%;;171;0;;
26/09/2023;11:45:00;28.32;81.20%;;150;0;;
26/09/2023;12:00:00;28.48;78.57%;;140.3;0;;
26/09/2023;12:15:00;28.88;79.97%;;149.7;0;;
26/09/2023;12:30:00;29.27;76.94%;;184;0;;
26/09/2023;12:45:00;29.83;74.92%;;148.8;0;;
26/09/2023;13:00:00;30.34;75.45%;;153.8;0;;
26/09/2023;13:15:00;30.72;74.64%;;174.9;0;;
26/09/2023;13:30:00;30.66;74.87%;;116;0;;
26/09/2023;13:45:00;30.12;74.86%;;203;0;;
26/09/2023;14:00:00;31.21;72.73%;;244.9;0;;
26/09/2023;14:15:00;31.8;69.60%;;185.3;0;;
26/09/2023;14:30:00;31.66;69.17%;;160.8;0;;
26/09/2023;14:45:00;31.61;71.26%;;154.7;1.71;;
26/09/2023;15:00:00;31.71;70.43%;;188.8;1.075;;
26/09/2023;15:15:00;32.19;69.76%;;221.1;1.08;;
26/09/2023;15:30:00;32.21;68.44%;;189.3;1.454;;
26/09/2023;15:45:00;32.62;68.95%;;292.3;0.746;;
26/09/2023;16:00:00;33.3;67.22%;;224.5;0.632;;
26/09/2023;16:15:00;33.63;65.88%;;220.5;2.086;;
26/09/2023;16:30:00;33.56;65.34%;;201;0;;
26/09/2023;16:45:00;33.37;65.46%;;187.2;0.392;;
26/09/2023;17:00:00;33.09;65.63%;;147.4;0.617;;
26/09/2023;17:15:00;32.74;65.88%;;112.9;0.946;;
26/09/2023;17:30:00;32.24;66.51%;;70.24;0;;
26/09/2023;17:45:00;31.98;67.20%;;67;0;;
26/09/2023;18:00:00;31.66;68.50%;;53.6;0;;
26/09/2023;18:15:00;31.35;69.30%;;46.91;0;;
26/09/2023;18:30:00;31.13;70.08%;;53.61;0;;
26/09/2023;18:45:00;30.95;70.56%;;33.5;0;;
26/09/2023;19:00:00;30.54;71.94%;;13.4;0;;
26/09/2023;19:15:00;29.96;73.24%;;0;0;;
26/09/2023;19:30:00;29.4;75.19%;;0;0;;
26/09/2023;19:45:00;28.93;76.19%;;0;0;;
26/09/2023;20:00:00;28.63;78.57%;;0;0;;
26/09/2023;20:15:00;28.39;79.89%;;0;0;;
26/09/2023;20:30:00;28.16;81.30%;;0;0;;
26/09/2023;20:45:00;27.93;81.90%;;0;0;;
26/09/2023;21:00:00;27.74;83.10%;;0;0;;
26/09/2023;21:15:00;27.49;83.70%;;0;0;;
26/09/2023;21:30:00;27.31;83.80%;;0;0;;
26/09/2023;21:45:00;27.17;84.40%;;0;0;;
26/09/2023;22:00:00;27.13;84.80%;;0;0;;
26/09/2023;22:15:00;26.91;86.10%;;0;0;;
26/09/2023;22:30:00;26.74;86.90%;;0;0;;
