;unit;old_unit;Treatment;Genotype;G..Alias;Replicates;maxET;slope.maxET-6;slope.07-maxET;slope.00-07;slope.19-23:45;curvmaxET;total.auc;auc.10-15;sd.10-15;auc.prop.10-15;auc.07-19;sd.07-19;auc.prop.07-19;auc.night;cos.sim.index
433;161:10:01;161:10:01;WW_R2;Exp60_175_IS20842;Exp60_175_IS20842;2;9.241738285;2.52E-05;0;-2.76E-06;-3.61E-05;-3.865049301;0.096550507;0.025160016;0.000131148;0.260589164;0.0526574;0.000208738;0.545387093;0.043893107;0.636915475
434;161:10:02;161:10:02;WW_R2;Exp60_263_IS29876;Exp60_263_IS29876;2;11.82443869;1.89E-05;2.58E-05;-8.31E-06;-1.23E-05;5.630269913;0.043198174;0.000219931;0.000137407;0.005091222;0.012470151;0.000381423;0.288673102;0.030728023;0.198248767
435;161:11:01;161:11:01;WW_R2;Exp60_218_IS24072;Exp60_218_IS24072;2;0.095454371;5.33E-05;0.000133022;-3.44E-05;-0.000178347;-1.250586342;0.134461125;0.028494916;0.001230566;0.211919362;0.088667461;0.001805817;0.659428231;0.045793663;0.628280839
436;161:11:02;161:11:02;WW_R2;Exp60_81_IS10234;Exp60_81_IS10234;2;9.822109009;1.98E-05;0;-2.38E-05;-1.53E-06;6.957534185;0.029488943;-6.34E-06;2.19E-05;-0.000214993;0.003208121;0.000104173;0.108790638;0.026280822;0.05934899
437;161:12:01;161:12:01;WW_R2;Exp60_114_IS14478;Exp60_114_IS14478;2;6.766158856;2.50E-05;9.12E-06;-7.35E-06;3.50E-05;7.452188513;0.010263055;-0.000111198;3.66E-06;-0.010834737;-0.00022676;2.76E-05;-0.022094778;0.010489815;-0.02507903
438;161:12:02;161:12:02;WW_R2;Exp60_176_IS21124;Exp60_176_IS21124;2;8.987150566;0;0;-6.41E-06;4.20E-06;6.510903264;0.002538791;4.36E-06;1.61E-06;0.001716943;0.000281236;9.24E-06;0.110775404;0.002257556;0.022991431
439;161:01:01;161:01:01;WW_R2;Exp60_242_IS27390;Exp60_242_IS27390;2;1350.652768;3.82E-06;9.50E-06;-9.08E-06;1.09E-05;7.593165137;0.015128056;-0.000318524;6.18E-06;-0.021055206;0.002094559;9.72E-05;0.138455256;0.013033497;0.050237583
440;161:01:02;161:01:02;WW_R2;Exp60_314_SSM205;Exp60_314_SSM205;2;0.010857737;7.86E-06;2.22E-05;2.39E-06;3.45E-05;5.3748086;0.025525192;-0.000771556;4.07E-05;-0.03022724;0.003343138;0.000187785;0.130974053;0.022182054;0.020361876
441;161:02:01;161:02:01;WW_R2;Exp60_255_IS29472;Exp60_255_IS29472;2;1.755186966;0;0;-4.42E-05;6.15E-06;4.865667413;0.001697371;0.000273978;3.96E-06;0.161413251;-0.000985902;5.23E-05;-0.580840507;0.002683273;-0.005699438
442;161:02:02;161:02:02;WW_R2;Exp60_86_IS10971;Exp60_86_IS10971;2;1.815089917;0;0;-0.000140516;1.41E-05;6.491533668;0.037692292;-9.53E-05;5.65E-06;-0.002528885;-0.001191355;5.73E-05;-0.031607385;0.038883647;-0.003832373
